No	カードパック	職業	種類	カード名1		カード名2	カード名3	コスト	攻撃力	体力	系統	画像	レア度	シンクロ	熟練度	ダンジョン	おうえん	スキルリンク	占い	パワフルバッジ	BET	絶好調	必殺技	メタルボディ
1424	10_破壊と創造	盗賊	ユニット	【怪盗ポイックリン】	【怪盗ポイックリン	怪盗ポイックリン	怪盗ポイックリン	2	2	3	冒険者		3											
1425	13_星降りの決戦	商人	ユニット	【怪物バルザック】	【怪物バルザック	怪物バルザック	怪物バルザック	7	7	7	物質		3											
1426	11_英雄たちの凱旋	魔剣士	ユニット	【怪竜やまたのおろち】	【怪竜やまたのおろち	怪竜やまたのおろち	怪竜やまたのおろち	5	3	6	ドラゴン		3											
1427	09_再会と誓い	魔剣士	ユニット	【怪蟲アラグネ】	【怪蟲アラグネ	怪蟲アラグネ	怪蟲アラグネ	8	4	10			2											
1428	11_英雄たちの凱旋	魔法使い	特技	【街の散策】	【街の散策	街の散策	街の散策	1					0											
1429	01スタンダード	占い師	特技	【垣間見る未来】	【垣間見る未来	垣間見る未来	垣間見る未来	1					0											
1430	01スタンダード	商人	特技	【覚醒の果実】	【覚醒の果実	覚醒の果実	覚醒の果実	5					2											
1431	04もりもり	商人	特技	【覚醒の巻物】	【覚醒の巻物	覚醒の巻物	覚醒の巻物	4					0											
1432	07_光と闇の	魔剣士	特技	【活性の秘奥】	【活性の秘奥	活性の秘奥	活性の秘奥	5					1											
1433	11_英雄たちの凱旋	共通	建物(トークン)	【棺桶】	【棺桶	棺桶	棺桶	2		3	建物B		2											
1434	11_英雄たちの凱旋	武闘家	建物	【丸太小屋】	【丸太小屋	丸太小屋	丸太小屋	2		3	建物B		1											
1435	12_そして伝説は	武闘家	特技	【岩石おとし】	【岩石おとし	岩石おとし	岩石おとし	7					1											
1436	13_星降りの決戦	商人	特技	【奇跡の石】	【奇跡の石	奇跡の石	奇跡の石	1					0				a							
1437	12_そして伝説は	占い師	特技	【希望の予兆】	【希望の予兆	希望の予兆	希望の予兆	5					1						a					
1438	05_勇気の英雄譚	商人	特技	【祈りの巻物】	【祈りの巻物	祈りの巻物	祈りの巻物	2					0											
1439	12_そして伝説は	盗賊	特技	【義賊の手腕】	【義賊の手腕	義賊の手腕	義賊の手腕	6					1											
1440	09_再会と誓い	占い師	特技	【逆転への兆し】	【逆転への兆し	逆転への兆し	逆転への兆し	6					1						a					
1441	11_英雄たちの凱旋	戦士	ユニット	【救援のドラキー】	【救援のドラキー	救援のドラキー	救援のドラキー	2	3	2			2											
1442	12_そして伝説は	魔剣士	ユニット	【究極エビルプリースト】	【究極エビルプリースト	究極エビルプリースト	究極エビルプリースト	9	6	9	魔王		3					a						
1443	09_再会と誓い	占い師	ユニット(トークン)	【魚】	【魚	魚	魚	1	2	2			0											
1444	10_破壊と創造	僧侶	ユニット	【共鳴のどんぐりベビー】	【共鳴のどんぐりベビー	共鳴のどんぐりベビー	共鳴のどんぐりベビー	1	3	2			2											
1445	12_そして伝説は	共通	ユニット(トークン)	【強襲のメタルキング】	【強襲のメタルキング	強襲のメタルキング	強襲のメタルキング	5	3	3	スライム		2											a
1446	10_破壊と創造	僧侶	ユニット	【強奪のくびかりぞく】	【強奪のくびかりぞく	強奪のくびかりぞく	強奪のくびかりぞく	4	3	5			0											
1447	10_破壊と創造	盗賊	ユニット	【強欲なミミック】	【強欲なミミック	強欲なミミック	強欲なミミック	3	2	4	物質		2								a			
1448	01スタンダード	魔剣士	武器(トークン)	【恐怖のツメ】	【恐怖のツメ	恐怖のツメ	恐怖のツメ	9	6	3			1											
1449	12_そして伝説は	僧侶	建物	【教会】	【教会	教会	教会	7		2	建物B		1											
1450	07_光と闇の	占い師	特技	【教皇のタロット】	【教皇のタロット	教皇のタロット	教皇のタロット	3					0						a					
1451	13_星降りの決戦	共通	ユニット	【狭間の王デスタムーア】	【狭間の王デスタムーア	狭間の王デスタムーア	狭間の王デスタムーア	5	5	5	魔王		3											
1452	09_再会と誓い	盗賊	ユニット	【鏡像のマネマネ】	【鏡像のマネマネ	鏡像のマネマネ	鏡像のマネマネ	3	3	2			0											
1453	07_光と闇の	商人	特技(トークン)	【金のカードパック】	【金のカードパック	金のカードパック	金のカードパック	2					2											
1454	13_星降りの決戦	武闘家	建物	【金属工房】	【金属工房	金属工房	金属工房	2		2	建物B		1											
1455	07_光と闇の	商人	特技(トークン)	【銀のカードパック】	【銀のカードパック	銀のカードパック	銀のカードパック	2					1											
1456	00ベーシック	占い師	特技	【銀のタロット】	【銀のタロット	銀のタロット	銀のタロット	2					1											
1457	02力の咆哮	占い師	特技	【愚者のタロット】	【愚者のタロット	愚者のタロット	愚者のタロット	4					2						a					
1458	11_英雄たちの凱旋	魔剣士	ユニット	【群れなすよるのていおう】	【群れなすよるのていおう	群れなすよるのていおう	群れなすよるのていおう	3	2	2	あくま		0											
1459	13_星降りの決戦	僧侶	ユニット	【恵みのゴールデンスライム】	【恵みのゴールデンスライム	恵みのゴールデンスライム	恵みのゴールデンスライム	5	3	5	スライム		3											a
1460	03不死鳥	武闘家	特技	【稽古相手】	【稽古相手	稽古相手	稽古相手	2					0											
1461	12_そして伝説は	共通	ユニット(トークン)	【迎撃のランプのまじん】	【迎撃のランプのまじん	迎撃のランプのまじん	迎撃のランプのまじん	3	3	3	あくま		2											
1462	10_破壊と創造	共通	建物	【劇場】	【劇場	劇場	劇場	1		5	建物B		2				a							
1463	07_光と闇の	魔剣士	特技	【激昂の犠牲】	【激昂の犠牲	激昂の犠牲	激昂の犠牲	2					0											
1464	09_再会と誓い	僧侶	ユニット	【決意の聖賢セーニャ】	【決意の聖賢セーニャ	決意の聖賢セーニャ	決意の聖賢セーニャ	4	3	5	冒険者		3											
1465	01スタンダード	戦士	特技	【剣の手入れ】	【剣の手入れ	剣の手入れ	剣の手入れ	3					1											
1466	04もりもり	戦士	特技	【剣の錬成】	【剣の錬成	剣の錬成	剣の錬成	3					2											
1467	00ベーシック	戦士	特技	【剣を求めて】	【剣を求めて	剣を求めて	剣を求めて	1					1											
1468	04もりもり	戦士	特技	【剣豪の闘志】	【剣豪の闘志	剣豪の闘志	剣豪の闘志	3					0											
1469	03不死鳥	戦士	特技	【剣神の領域】	【剣神の領域	剣神の領域	剣神の領域	2					2											
1470	01スタンダード	共通	ユニット(トークン)	【犬】	【犬	犬	犬	1	1	1			0											
1471	12_そして伝説は	共通	建物(トークン)	【見えざる魔神の道】	【見えざる魔神の道	見えざる魔神の道	見えざる魔神の道	3		1	地図		2			a								
1472	08_カジノ	占い師	ユニット	【賢者ルシェンダ】	【賢者ルシェンダ	賢者ルシェンダ	賢者ルシェンダ	8	4	6	冒険者		3								a			
1473	05_勇気の英雄譚	武闘家	武器	【古武道のツメ】	【古武道のツメ	古武道のツメ	古武道のツメ	5	2	2			1											
1474	06_小さな希望の	戦士	特技	【孤軍奮闘】	【孤軍奮闘	孤軍奮闘	孤軍奮闘	2					2											
1475	02力の咆哮	戦士	特技	【孤高の剣技】	【孤高の剣技	孤高の剣技	孤高の剣技	3					0											
1476	01スタンダード	共通	特技(トークン)	【光の玉】	【光の玉	光の玉	光の玉	4					2											
1477	13_星降りの決戦	僧侶	ユニット	【光の番人】	【光の番人	光の番人	光の番人	6	4	4	ドラゴン		2											
1478	06_小さな希望の	占い師	特技	【幸運のおまもり】	【幸運のおまもり	幸運のおまもり	幸運のおまもり	3					0				a							
1479	03不死鳥	占い師	特技	【幸運の導き手】	【幸運の導き手	幸運の導き手	幸運の導き手	2					0											
1480	01スタンダード	占い師	特技	【皇帝のタロット】	【皇帝のタロット	皇帝のタロット	皇帝のタロット	3					0						a					
1481	11_英雄たちの凱旋	商人	ユニット	【高潔な王パパス】	【高潔な王パパス	高潔な王パパス	高潔な王パパス	5	3	4	冒険者		3											
1482	06_小さな希望の	戦士	ユニット(トークン)	【剛腕王アントン】	【剛腕王アントン	剛腕王アントン	豪腕王アントン	3	2	3			2											
1483	05_勇気の英雄譚	商人	武器	【豪商のそろばん】	【豪商のそろばん	豪商のそろばん	豪商のそろばん	5	3	2			0											
1484	04もりもり	戦士	ユニット	【黒騎士レオコーン】	【黒騎士レオコーン	黒騎士レオコーン	黒騎士レオコーン	8	5	8	ゾンビ		3							a				
1485	10_破壊と創造	盗賊	ユニット(トークン)	【混乱するモグラの子分】	【混乱するモグラの子分	混乱するモグラの子分	混乱するモグラの子分	3	3	1			2											
1486	04もりもり	占い師	特技	【魂の写し身】	【魂の写し身	魂の写し身	魂の写し身	1					0											
1487	07_光と闇の	占い師	特技	【魂の復活】	【魂の復活	魂の復活	魂の復活	6					1											
1488	10_破壊と創造	戦士	ユニット(トークン)	【最後の希望メルビン】	【最後の希望メルビン	最後の希望メルビン	最後の希望メルビン	3	3	4	冒険者		3											
1489	09_再会と誓い	戦士	ユニット	【最後の砦の英雄グレイグ】	【最後の砦の英雄グレイグ	最後の砦の英雄グレイグ	最後の砦の英雄グレイグ	4	3	5	冒険者		3											
1490	01スタンダード	魔剣士	特技	【裁きの炎】	【裁きの炎	裁きの炎	裁きの炎	4					0											
1491	12_そして伝説は	僧侶	ユニット(トークン)	【錯乱の竜】	【錯乱の竜	錯乱の竜	錯乱の竜	4	4	7	ドラゴン		3											
1492	12_そして伝説は	共通	建物(トークン)	【残された神々の水脈】	【残された神々の水脈	残された神々の水脈	残された神々の水脈	3		1	地図		2			a								
1493	10_破壊と創造	魔法使い	ユニット	【残響のようじゅつし】	【残響のようじゅつし	残響のようじゅつし	残響のようじゅつし	4	3	3	あくま		2											
1494	04もりもり	共通	ユニット	【屍騎軍王ゾルデ】	【屍騎軍王ゾルデ	屍騎軍王ゾルデ	屍騎軍王ゾルデ	6	3	6	ゾンビ		3											
1495	04もりもり	共通	ユニット(トークン)	【屍騎軍王ゾルデ・影】	【屍騎軍王ゾルデ・影	屍騎軍王ゾルデ・影	屍騎軍王ゾルデ・影	3	2	2	ゾンビ		2											
1496	11_英雄たちの凱旋	商人	ユニット	【支援のかれくさネズミ】	【支援のかれくさネズミ	支援のかれくさネズミ	支援のかれくさネズミ	3	2	2			2											
1497	13_星降りの決戦	占い師	建物	【死の礼拝堂】	【死の礼拝堂	死の礼拝堂	死の礼拝堂	2		3	建物		2											
1498	04もりもり	魔剣士	特技	【死への誘い】	【死への誘い	死への誘い	死への誘い	2					0											
1499	04もりもり	魔剣士	特技	【死者の魂】	【死者の魂	死者の魂	死者の魂	4					1											
1500	13_星降りの決戦	盗賊	ユニット	【死神スライダーク】	【死神スライダーク	死神スライダーク	死神スライダーク	4	4	2	スライム		3											
1501	07_光と闇の	占い師	特技	【死神のタロット】	【死神のタロット	死神のタロット	死神のタロット	5					1						a					
1502	09_再会と誓い	共通	ユニット	【慈愛のキラーパンサー】	【慈愛のキラーパンサー	慈愛のキラーパンサー	慈愛のキラーパンサー	5	4	4			2				a							
1503	11_英雄たちの凱旋	僧侶	ユニット	【執念のひとくいサーベル】	【執念のひとくいサーベル	執念のひとくいサーベル	執念のひとくいサーベル	1	2	1	物質		0											
1504	01スタンダード	魔剣士	特技	【漆黒の世界】	【漆黒の世界	漆黒の世界	漆黒の世界	6					1											
1505	02力の咆哮	魔法使い	特技	【疾風迅雷】	【疾風迅雷	疾風迅雷	疾風迅雷	3					1											
1506	07_光と闇の	魔法使い	特技	【邪悪な祈り】	【邪悪な祈り	邪悪な祈り	邪悪な祈り	6					2				a							
1507	03不死鳥	魔剣士	特技	【邪悪な衝撃波】	【邪悪な衝撃波	邪悪な衝撃波	邪悪な衝撃波	1					0											
1508	11_英雄たちの凱旋	魔法使い	ユニット	【邪教の使徒ゲマ】	【邪教の使徒ゲマ	邪教の使徒ゲマ	邪教の使徒ゲマ	5	5	5	ゾンビ		3											
1509	09_再会と誓い	共通	ユニット(トークン)	【邪神の子】	【邪神の子	邪神の子	邪神の子	2	2	2			2											
1510	02力の咆哮	魔剣士	特技	【邪神の呪い】	【邪神の呪い	邪神の呪い	邪神の呪い	2					0											
1511	07_光と闇の	共通	ユニット	【邪神官ハーゴン】	【邪神官ハーゴン	邪神官ハーゴン	邪神官ハーゴン	6	4	4	魔王		3											
1512	09_再会と誓い	魔剣士	ユニット	【邪竜軍王ガリンガ】	【邪竜軍王ガリンガ	邪竜軍王ガリンガ	邪竜軍王ガリンガ	13	7	5	ドラゴン		3											
1513	03不死鳥	共通	ユニット	【若葉の精霊】	【若葉の精霊	若葉の精霊	若葉の精霊	4	4	4			1											
1514	11_英雄たちの凱旋	戦士	建物	【守りのほこら】	【守りのほこら	守りのほこら	守りのほこら	1		1	建物		1			a								
1515	12_そして伝説は	戦士	特技	【守りの極意】	【守りの極意	守りの極意	守りの極意	2					3											
1516	12_そして伝説は	共通	英雄	【守り人ナイン】	【守り人ナイン	守り人ナイン	守り人ナイン	1					3											
1517	12_そして伝説は	盗賊	ユニット	【酒場の店主ルイーダ】	【酒場の店主ルイーダ	酒場の店主ルイーダ	酒場の店主ルイーダ	2	1	2	冒険者		3					a						
1518	12_そして伝説は	共通	建物(トークン)	【呪われし魂の氷河】	【呪われし魂の氷河	呪われし魂の氷河	呪われし魂の氷河	3		1	地図		2			a								
1519	03不死鳥	魔法使い	ユニット	【樹氷の竜】	【樹氷の竜	樹氷の竜	樹氷の竜	4	3	4	ドラゴン		0											
1520	10_破壊と創造	僧侶	建物	【修道院】	【修道院	修道院	修道院	3		6	建物B		1											
1521	10_破壊と創造	戦士	ユニット	【修練のたてまじん】	【修練のたてまじん	修練のたてまじん	修練のたてまじん	4	3	5			0											
1522	05_勇気の英雄譚	魔剣士	特技	【終焉の波動】	【終焉の波動	終焉の波動	終焉の波動	7					1											
1523	07_光と闇の	商人	ユニット	【獣魔将ガルレイ】	【獣魔将ガルレイ	獣魔将ガルレイ	獣魔将ガルレイ	5	5	4			2											
1524	10_破壊と創造	商人	ユニット	【宿王リッカ】	【宿王リッカ	宿王リッカ	宿王リッカ	4	3	3	冒険者		3											
1525	10_破壊と創造	僧侶	建物	【宿屋】	【宿屋	宿屋	宿屋	2		2	建物B		2											
1526	11_英雄たちの凱旋	盗賊	ユニット	【女盗賊ゲルダ】	【女盗賊ゲルダ	女盗賊ゲルダ	女盗賊ゲルダ	3	4	3	冒険者		3											
1527	11_英雄たちの凱旋	盗賊	ユニット	【勝負師ジャックポッター】	【勝負師ジャックポッター	勝負師ジャックポッター	勝負師ジャックポッター	6	6	6	物質		2											
1528	05_勇気の英雄譚	占い師	特技	【召竜の儀式】	【召竜の儀式	召竜の儀式	召竜の儀式	7					0						a					
1529	00ベーシック	商人	武器	【商人のそろばん】	【商人のそろばん	商人のそろばん	商人のそろばん	3	2	2			1											
1530	08_カジノ	商人	特技	【商人の交換所】	【商人の交換所	商人の交換所	商人の交換所	0					1											
1531	13_星降りの決戦	占い師	特技	【小悪魔への呼びかけ】	【小悪魔への呼びかけ	小悪魔への呼びかけ	小悪魔への呼びかけ	2					0						a					
1532	08_カジノ	魔法使い	ユニット	【少女マリベル】	【少女マリベル	少女マリベル	少女マリベル	4	4	3	冒険者		3								a			
1533	13_星降りの決戦	戦士	ユニット	【少年キーファ】	【少年キーファ	少年キーファ	少年キーファ	3	3	3	冒険者		3											
1534	10_破壊と創造	共通	英雄	【少年シドー】	【少年シドー	少年シドー	少年シドー	1					3											
1535	06_小さな希望の	戦士	ユニット	【少年テリー】	【少年テリー	少年テリー	少年テリー	2	2	3	冒険者		3											
1536	06_小さな希望の	商人	ユニット	【少年ヤンガス】	【少年ヤンガス	少年ヤンガス	少年ヤンガス	1	2	1	冒険者		3											
1537	11_英雄たちの凱旋	共通	建物	【沼地の洞くつ】	【沼地の洞くつ	沼地の洞くつ	沼地の洞くつ	1		1	建物		2			a								
1538	09_再会と誓い	盗賊	ユニット	【笑顔の伝道師シルビア】	【笑顔の伝道師シルビア	笑顔の伝道師シルビア	笑顔の伝道師シルビア	4	3	4	冒険者		3											
1539	00ベーシック	占い師	特技(トークン)	【審判のタロット】	【審判のタロット	審判のタロット	審判のタロット	0					0						a					
1540	09_再会と誓い	盗賊	特技	【心眼一閃】	【心眼一閃	心眼一閃	心眼一閃	8					1											
1541	05_勇気の英雄譚	武闘家	特技	【心頭滅却】	【心頭滅却	心頭滅却	心頭滅却	0					1										a	
1542	08_カジノ	戦士	特技	【新たなチカラへの対価】	【新たなチカラへの対価	新たなチカラへの対価	新たなチカラへの対価	1					0											
1543	12_そして伝説は	魔法使い	特技	【新天地の手がかり】	【新天地の手がかり	新天地の手がかり	新天地の手がかり	2					0				a							
1544	07_光と闇の	武闘家	ユニット	【神官クリフト】	【神官クリフト	神官クリフト	神官クリフト	3	2	4	冒険者		3											
1545	02力の咆哮	戦士	特技	【神速の剣圧】	【神速の剣圧	神速の剣圧	神速の剣圧	1					0				a							
1546	07_光と闇の	魔法使い	特技	【神速メラガイアー】	【神速メラガイアー	神速メラガイアー	神速メラガイアー	6					2											
1547	05_勇気の英雄譚	占い師	特技	【神託の門】	【神託の門	神託の門	神託の門	4					1										a	
1548	05_勇気の英雄譚	魔法使い	武器(トークン)	【神鳥の杖】	【神鳥の杖	神鳥の杖	神鳥の杖	4	0	1			2											
1549	13_星降りの決戦	僧侶	ユニット	【神鳥レティス】	【神鳥レティス	神鳥レティス	神鳥レティス	8	5	4			3											
1550	01スタンダード	魔剣士	特技	【進化の秘法】	【進化の秘法	進化の秘法	進化の秘法	9					2										a	
1551	10_破壊と創造	共通	建物	【図書館】	【図書館	図書館	図書館	3		2	建物B		1											
1552	01スタンダード	魔法使い	ユニット	【吹雪の魔女】	【吹雪の魔女	吹雪の魔女	吹雪の魔女	5	4	4	あくま		2											
1553	12_そして伝説は	魔法使い	建物(トークン)	【世界樹】	【世界樹	世界樹	世界樹	3		4	建物B		2											
1554	01スタンダード	商人	特技	【成長の果実】	【成長の果実	成長の果実	成長の果実	1					0											
1555	12_そして伝説は	魔法使い	特技	【星くず】	【星くず	星くず	星くず	1					1											
1556	00ベーシック	占い師	特技	【星のタロット】	【星のタロット	星のタロット	星のタロット	3					1						a					
1557	00ベーシック	武闘家	特技(トークン)	武術:【精神統一】	武術:【精神統一	精神統一	精神統一	1					0											
1558	04もりもり	僧侶	特技	【精霊の矢】	【精霊の矢	精霊の矢	精霊の矢	6					2											
1559	03不死鳥	僧侶	武器	【聖銀のレイピア】	【聖銀のレイピア	聖銀のレイピア	聖銀のレイピア	3	1	3			0											
1560	06_小さな希望の	戦士	特技	【青い閃光】	【青い閃光	青い閃光	青い閃光	1					0											
1561	06_小さな希望の	戦士	ユニット(トークン)	【青い闘魂 スラぼう】	【青い闘魂 スラぼう	青い闘魂 スラぼう	青い闘魂 スラぼう	3	3	2	スライム		2											
1562	12_そして伝説は	僧侶	ユニット	【石の番人】	【石の番人	石の番人	石の番人	4	2	6	物質		1											
1563	11_英雄たちの凱旋	僧侶	ユニット	【石炭つむり】	【石炭つむり	石炭つむり	石炭つむり	2	2	3	スライム		0											
1564	00ベーシック	占い師	特技	【節制のタロット】	【節制のタロット	節制のタロット	節制のタロット	1					0						a					
1565	11_英雄たちの凱旋	魔剣士	特技	【絶息の波動】	【絶息の波動	絶息の波動	絶息の波動	5					2											
1566	07_光と闇の	魔剣士	特技	【絶望の再来】	【絶望の再来	絶望の再来	絶望の再来	2					1											
1567	11_英雄たちの凱旋	魔法使い	建物	【仙人のほら穴】	【仙人のほら穴	仙人のほら穴	仙人のほら穴	1		1	建物		1			a								
1568	08_カジノ	占い師	特技	【占い師の交換所】	【占い師の交換所	占い師の交換所	占い師の交換所	0					1											
1569	10_破壊と創造	占い師	建物	【占い小屋】	【占い小屋	占い小屋	占い小屋	1		6	建物B		1			a								
1570	12_そして伝説は	占い師	特技	【占術の閃き】	【占術の閃き	占術の閃き	占術の閃き	2					0		a									
1571	11_英雄たちの凱旋	戦士	武器	【戦士の剣】	【戦士の剣	戦士の剣	戦士の剣	2	1	3			0				a							
1572	08_カジノ	戦士	特技	【戦士の交換所】	【戦士の交換所	戦士の交換所	戦士の交換所	0					1											
1573	03不死鳥	占い師	特技	【戦車のタロット】	【戦車のタロット	戦車のタロット	戦車のタロット	2					1						a					
1574	10_破壊と創造	盗賊	ユニット	【船長】	【船長	船長	船長	2	2	3	ゾンビ		2											
1575	01スタンダード	武闘家	特技	【閃光烈火拳】	【閃光烈火拳	閃光烈火拳	閃光烈火拳	7					2										a	
1576	07_光と闇の	共通	ユニット(トークン)	【全てを滅ぼす者ゾーマ】	【全てを滅ぼす者ゾーマ	全てを滅ぼす者ゾーマ	全てを滅ぼす者ゾーマ	7	10	10	魔王		3											
1577	08_カジノ	僧侶	特技	【僧侶の交換所】	【僧侶の交換所	僧侶の交換所	僧侶の交換所	0					1											
1578	09_再会と誓い	魔法使い	特技	【双竜打ち】	【双竜打ち	双竜打ち	双竜打ち	3					1											
1579	01スタンダード	魔法使い	特技	【早詠みの杖】	【早詠みの杖	早詠みの杖	早詠みの杖	1					1											
1580	12_そして伝説は	僧侶	ユニット	【増殖のスモールグール】	【増殖のスモールグール	増殖のスモールグール	増殖のスモールグール	2	1	3			0											
1581	02力の咆哮	魔剣士	特技	【増幅する闇】	【増幅する闇	増幅する闇	増幅する闇	7					0											
1582	13_星降りの決戦	共通	ユニット	【足軽のたけやりへい】	【足軽のたけやりへい	足軽のたけやりへい	足軽のたけやりへい	2	2	3	物質		1											
1583	00ベーシック	占い師	特技	【太陽のタロット】	【太陽のタロット	太陽のタロット	太陽のタロット	4					0						a					
1584	11_英雄たちの凱旋	商人	武器	【打ち出のそろばん】	【打ち出のそろばん	打ち出のそろばん	打ち出のそろばん	4	2	3			0											
1585	06_小さな希望の	商人	特技(トークン)	【大きなパン】	【大きなパン	大きなパン	大きなパン	0					0											
1586	05_勇気の英雄譚	戦士	特技	【大ぼうぎょ】	【大ぼうぎょ	大ぼうぎょ	大ぼうぎょ	2					0											
1587	04もりもり	戦士	ユニット	【大怨霊マアモン】	【大怨霊マアモン	大怨霊マアモン	大怨霊マアモン	7	6	2	ゾンビ		0											
1588	11_英雄たちの凱旋	武闘家	ユニット	【大工の息子ハッサン】	【大工の息子ハッサン	大工の息子ハッサン	大工の息子ハッサン	4	4	4	冒険者		3											
1589	12_そして伝説は	商人	特技	【大地の恵み】	【大地の恵み	大地の恵み	大地の恵み	1					0											
1590	05_勇気の英雄譚	商人	特技	【大風の巻物】	【大風の巻物	大風の巻物	大風の巻物	4					0											
1591	13_星降りの決戦	商人	建物	【大砲】	【大砲	大砲	大砲	2		2	建物		1				a							
1592	05_勇気の英雄譚	商人	特技	【大砲の壺】	【大砲の壺	大砲の壺	大砲の壺	2					2											
1593	07_光と闇の	共通	反英雄	【大魔王ゾーマ】	【大魔王ゾーマ	大魔王ゾーマ	大魔王ゾーマ	3					3											
1594	12_そして伝説は	共通	建物(トークン)	【大魔王の間】	【大魔王の間	大魔王の間	大魔王の間	3		1	地図		2			a								
1595	11_英雄たちの凱旋	魔法使い	ユニット	【大魔女バーバラ】	【大魔女バーバラ	大魔女バーバラ	大魔女バーバラ	2	2	2	冒険者		3											
1596	12_そして伝説は	共通	ユニット	【達人サーベルきつね】	【達人サーベルきつね	達人サーベルきつね	達人サーベルきつね	3	2	4			0		a									
1597	07_光と闇の	魔剣士	特技	【嘆きの霧】	【嘆きの霧	嘆きの霧	嘆きの霧	2					1										a	
1598	12_そして伝説は	盗賊	武器	【探知のナイフ】	【探知のナイフ	探知のナイフ	探知のナイフ	3	2	2			1											
1599	12_そして伝説は	武闘家	ユニット	【知将ジャミラス】	【知将ジャミラス	知将ジャミラス	知将ジャミラス	5	5	5	魔王		3											
1600	01スタンダード	魔剣士	特技	【地獄からの呼び声】	【地獄からの呼び声	地獄からの呼び声	地獄からの呼び声	5					2											
1601	01スタンダード	魔剣士	特技	【地獄の業火】	【地獄の業火	地獄の業火	地獄の業火	4					0											
1602	10_破壊と創造	魔剣士	ユニット	【地獄の帝王エスターク】	【地獄の帝王エスターク	地獄の帝王エスターク	地獄の帝王エスターク	5	8	7	魔王		3											
1603	06_小さな希望の	魔剣士	特技	【地獄への生贄】	【地獄への生贄	地獄への生贄	地獄への生贄	2					2											
1604	12_そして伝説は	共通	建物(トークン)				地図1	1		1	地図		0			a								
1605	12_そして伝説は	共通	建物(トークン)				地図2	2		1	地図		1			a								
1606	06_小さな希望の	魔法使い	特技	【地這い大蛇】	【地這い大蛇	地這い大蛇	地這い大蛇	5					2											
1607	08_カジノ	魔剣士	ユニット	【忠義の騎士アドン】	【忠義の騎士アドン	忠義の騎士アドン	忠義の騎士アドン	3	2	3			2											
1608	12_そして伝説は	商人	ユニット	【忠臣サンチョ】	【忠臣サンチョ	忠臣サンチョ	忠臣サンチョ	3	3	4	冒険者		3											
1609	01スタンダード	共通	ユニット(トークン)	【潮風のディーバ】	【潮風のディーバ	潮風のディーバ	潮風のディーバ	2	2	2			1											
1610	06_小さな希望の	商人	特技	【超しあわせのたね】	【超しあわせのたね	超しあわせのたね	超しあわせのたね	3					0											
1611	05_勇気の英雄譚	商人	特技	【超しあわせの杖】	【超しあわせの杖	超しあわせの杖	超しあわせの杖	2					1										a	
1612	10_破壊と創造	共通	建物(トークン)	【超スーパーカー】	【超スーパーカー	超スーパーカー	超スーパーカー	6		2	建物B		2											
1613	00ベーシック	商人	特技	【超ちからのたね】	【超ちからのたね	超ちからのたね	超ちからのたね	1					0											
1614	10_破壊と創造	武闘家	ユニット	【追撃のキラーマシン】	【追撃のキラーマシン	追撃のキラーマシン	追撃のキラーマシン	5	3	4	物質		2											
1615	04もりもり	商人	特技	【痛みわけの杖】	【痛みわけの杖	痛みわけの杖	痛みわけの杖	4					1											
1616	10_破壊と創造	占い師	特技	【掴み取る未来】	【掴み取る未来	掴み取る未来	掴み取る未来	3					0											
1617	03不死鳥	占い師	特技	【定められし未来】	【定められし未来	定められし未来	定められし未来	5					0											
1618	07_光と闇の	魔剣士	特技(トークン)	【帝王の一閃】	【帝王の一閃	帝王の一閃	帝王の一閃	7					0											
1619	06_小さな希望の	商人	特技(トークン)	【弟切草】	【弟切草	弟切草	弟切草	1					0											
1620	12_そして伝説は	商人	ユニット	【笛吹き羊男】	【笛吹き羊男	笛吹き羊男	笛吹き羊男	2	2	1			2											
1621	12_そして伝説は	盗賊	ユニット	【鉄鬼軍王キラゴルド】	【鉄鬼軍王キラゴルド	鉄鬼軍王キラゴルド	鉄鬼軍王キラゴルド	5	5	5	物質		3								a			
1622	08_カジノ	共通	英雄	【天空の花嫁デボラ】	【天空の花嫁デボラ	天空の花嫁デボラ	天空の花嫁デボラ	2					3											
1623	08_カジノ	共通	英雄	【天空の花嫁ビアンカ】	【天空の花嫁ビアンカ	天空の花嫁ビアンカ	天空の花嫁ビアンカ	2					3											
1624	08_カジノ	共通	英雄	【天空の花嫁フローラ】	【天空の花嫁フローラ	天空の花嫁フローラ	天空の花嫁フローラ	2					3											
1625	10_破壊と創造	占い師	ユニット	【天啓のエビルドライブ】	【天啓のエビルドライブ	天啓のエビルドライブ	天啓のエビルドライブ	2	1	3	ゾンビ		2											
1626	09_再会と誓い	魔法使い	ユニット	【天才魔法使いベロニカ】	【天才魔法使いベロニカ	天才魔法使いベロニカ	天才魔法使いベロニカ	4	3	3	冒険者		3											
1627	05_勇気の英雄譚	僧侶	特技	【天使の眼差し】	【天使の眼差し	天使の眼差し	天使の眼差し	3					0											
1628	01スタンダード	僧侶	特技	【天使の守り】	【天使の守り	天使の守り	天使の守り	2					0											
1629	01スタンダード	占い師	特技	【天変地異】	【天変地異	天変地異	天変地異	8					2										a	
1630	13_星降りの決戦	共通	ユニット	【天魔王オルゴ・デミーラ】	【天魔王オルゴ・デミーラ	天魔王オルゴ・デミーラ	天魔王オルゴ・デミーラ	4	3	6	魔王		3											
